Episode,Reward,Episode Steps
1,16.95562227110186,19
2,93.57173943268053,61
3,24.30187201936617,25
4,19.734658248973712,22
5,20.829192784033534,18
6,26.61886686238669,19
7,102.11140651818307,53
8,180.37436776129675,81
9,130.16321710632496,63
10,11.267757948166421,13
11,187.15015906435005,101
12,85.29039925753207,45
13,32.37541630756511,21
14,76.79056040947593,51
15,135.2107847000303,76
16,21.30693201985357,16
17,33.657763285097374,39
18,93.78526532628364,51
19,110.63206203597152,61
20,127.60061130381986,110
21,127.58255661378374,70
22,138.57405009654963,74
23,97.83623126655328,61
24,81.52298802626285,45
25,114.6485588089496,74
26,72.5287648924753,41
27,16.26455338666894,14
28,19.223542331927817,28
29,37.192802983467736,28
30,78.32185613426215,45
31,5.972994824968719,10
32,17.709573767240162,23
33,28.815401081660294,19
34,22.369840945320565,22
35,43.553212781048586,28
36,23.50525774441865,25
37,99.70573824191393,56
38,22.749353793418862,18
39,25.30491109252096,44
40,8.320465837973234,14
41,70.9790893541687,49
42,3.904103364534739,16
43,18.58215768991557,19
44,78.57094643414837,43
45,11.248736281193647,22
46,76.18268448530371,54
47,15.447372729011864,17
48,33.640128416178705,23
49,3.3909356341282284,22
50,105.15497915449619,71
51,53.006830058233376,31
52,89.70217576829516,67
53,75.6281038037816,41
54,110.87445358323453,79
55,143.036632696178,84
56,55.83894589540051,42
57,5.097878331682638,21
58,16.870544009969215,21
59,83.04442055611547,47
60,11.230720725770261,17
61,66.44568478283787,37
62,34.10852995681171,36
63,7.35656293021489,15
64,79.3386318594273,53
65,1.9685184360762733,11
66,7.3338547023895915,15
67,76.25473549823356,52
68,58.12797330322478,38
69,58.01829026365901,43
70,7.334885433196818,13
71,51.81380538454705,40
72,-0.24585916036135114,20
73,30.077121989893993,33
74,83.95227395700076,59
75,95.07463249166334,62
76,61.33473277376378,42
77,65.17166546561393,39
78,17.62924740252196,19
79,59.98357048318275,43
80,46.00009176942073,26
81,47.261860494104596,27
82,66.68911951282891,37
83,4.467713504669675,18
84,73.46289102332126,49
85,7.812795706014551,21
86,59.10449492163511,35
