Episode,Reward,Episode Steps
1,16.95562227110186,19
2,48.40645882820073,34
3,24.781349960055298,33
4,11.81145980535229,16
5,18.678455565521443,21
6,39.65856645249383,32
7,21.186803076661267,23
8,7.251502804868202,14
9,64.9599169886947,46
10,66.58211898012787,39
11,111.28595492853093,76
12,140.8990425568116,75
13,128.03810218638506,62
14,93.72366543877841,50
15,56.623260906039796,44
16,84.68331938968662,48
17,36.624569983833595,26
18,4.363455702456206,16
19,42.411879212286905,39
20,12.772446513499618,21
21,85.1659497270736,72
22,12.924104955033878,20
23,54.9855222319622,51
24,54.270036519650795,40
25,6.6797414048763795,19
26,44.95410719475194,26
27,32.4486831569412,26
28,2.95813831160455,13
29,46.56189358851616,26
30,46.788632344966395,26
31,48.12523304779793,28
32,41.53161661459739,23
33,46.0822259264534,26
34,42.12722604109424,23
35,43.68189911704289,24
36,40.48762282189492,22
37,38.44052601102275,21
38,43.912224946809786,24
39,48.726800038186965,28
40,39.07714344396215,21
41,38.80071802630604,21
42,39.352205518150946,21
43,38.30151921408972,21
44,50.13998836493055,27
45,45.432354534915085,24
46,40.32709229114902,22
47,39.026077907126854,21
48,38.648604902643726,21
49,40.04682054134971,22
50,48.69323229228131,26
51,45.06999329395225,24
52,36.921720114771254,20
53,39.39773129988014,21
54,39.849851517724886,22
55,46.453710493354855,25
56,38.83396140299019,21
57,38.8605788838905,21
58,38.88834825943274,21
59,52.264919254370724,27
60,50.012885735672896,27
61,69.22498007321717,35
62,38.81401711174033,21
63,42.17572521597711,23
64,38.640631099982784,21
65,40.900133450824725,22
66,38.67651922990712,21
67,37.24459632744777,20
68,51.05029666606153,27
69,37.14678875240856,20
70,53.962409630532036,28
71,38.934608257429495,21
72,64.38401256768299,33
73,38.521326203262,21
74,46.07541991893111,24
75,41.32181831927075,22
76,72.29392301261866,37
77,43.572701224907775,23
78,68.7135205442374,37
79,38.68114894590284,21
80,90.40925601865112,48
81,43.54213002430608,23
82,75.50054916068702,41
83,36.992209715085814,20
84,51.79908918184374,29
85,41.41917736495785,22
86,39.4490685941594,21
87,63.73876793034651,33
88,38.97518103447789,21
89,39.37584577128646,21
90,41.53389814136679,22
91,43.26770207799065,23
92,57.96805982365772,30
93,39.236217062304384,21
94,37.28375676476157,20
95,43.081445315278586,23
96,42.97811976187645,23
97,48.9613509703923,26
98,38.53661155844757,21
99,43.35527008134754,23
