Episode,Reward,Episode Steps
1,54.01596992637431,29
2,114.61332796346508,73
3,76.62117599889746,47
4,122.90803192823472,60
5,17.258282522103375,16
6,33.86032605120242,29
7,50.37762659859558,34
8,17.70222030114022,30
9,6.888001060280465,14
10,8.958294048456308,25
11,45.219092477436966,26
12,23.375797583430728,20
13,13.641570076936874,23
14,105.34082794118116,86
15,10.162278235916103,14
16,7.5688214398635365,12
17,17.972102643628396,29
18,145.92875932167874,83
19,31.775284415449335,27
20,33.79233696610269,25
21,60.627112756078276,35
22,75.30807750119833,49
23,7.769066281333163,23
24,10.24768152913859,18
25,40.859143592392094,32
26,85.04444780268581,45
27,26.45909960081159,35
28,95.59944957569532,80
29,154.9665634256908,79
30,31.819058396215986,35
31,72.62280522268263,43
32,150.25684453358562,72
33,8.434966380980448,29
34,15.575590982022211,28
35,32.16800587706778,29
36,106.52954050340588,68
37,121.89871942706645,61
38,2.831562081822255,21
39,25.89515844806977,25
40,136.4895722645937,73
41,22.218020736059813,28
42,79.77367753590146,86
43,24.297159108358684,41
44,68.74967282167772,60
45,9.350827133540692,15
46,5.421307946608998,21
47,77.6071451379038,45
48,118.07616211673849,76
49,101.62492018645419,51
50,42.313124174884585,34
51,13.947680909503532,21
52,4.798563459178446,18
53,60.52448163630884,35
54,11.967214271463568,14
55,24.047316228975852,19
56,177.7717597679061,87
57,109.8421653239105,56
58,26.407561311472605,18
59,7.907696877543553,19
60,23.625563569070938,18
61,4.462911109445207,15
62,12.51481600179804,12
63,185.46726972948144,96
64,48.01074957441062,28
65,73.82167757054673,51
66,72.75286909203906,41
67,7.436461657931893,12
68,86.38150034052397,54
69,20.643066771899193,28
70,100.29124784294987,66
71,12.150508467330962,15
72,101.58471139921768,60
73,4.482316947121467,18
74,3.4592176264037464,18
75,77.51841475753561,44
76,74.39067096680787,42
77,111.40777948238373,62
78,204.09477016509274,108
79,19.41680576398256,18
80,18.2798341914332,21
81,8.340815007334978,17
82,15.028377970208442,37
83,43.132343530592685,44
84,121.72429734418935,86
85,129.8729864011095,89
86,12.507977966133883,20
87,106.68620378744238,55
88,26.393681764752596,23
89,12.456721301523956,26
90,122.89232634057345,63
91,76.17694758336778,45
92,112.43738738969036,61
93,2.378479170582213,19
94,32.37397452041363,23
95,9.252991970609699,17
96,27.264009326158796,26
97,1.7286103779858115,21
98,18.75637085130457,31
99,82.25458590584917,55
100,17.772427988742255,17
101,8.333216422162502,15
102,15.255898813516259,19
103,69.78481932914625,41
104,139.28254096356167,81
105,24.79268620575151,31
106,25.58354857118598,19
107,65.34538774002452,37
108,53.40165988164929,33
109,114.04267824581602,91
110,85.51558411440277,50
111,14.158007294642289,29
112,14.591795148700292,29
113,24.319536409038065,22
114,7.9157692877955395,12
115,21.00303269994805,28
116,27.30396329561505,22
117,70.43091376856819,44
118,8.490209195930113,20
119,15.536868801763351,13
120,4.109495046188233,18
121,88.07160824868589,50
122,101.62098109803158,55
123,74.56216886956717,52
124,67.82966436886753,36
125,84.45476572433428,49
126,22.197141714262816,18
127,87.3134854793879,47
128,39.89728872997851,27
129,88.89722641812416,51
130,5.234129093796275,25
131,56.839364569939804,33
132,76.31153580841367,62
133,80.51026879009211,51
134,10.651145787118736,12
135,103.48063865189555,55
136,11.74153619383913,24
137,91.39925326026325,52
138,14.454255394404688,24
139,45.12344239254036,30
140,17.681263109473115,20
141,24.79853660676562,22
142,52.43127632415894,31
143,58.86380534463937,46
144,6.474275205634994,18
145,27.685795046096516,30
146,11.58303415330615,13
147,28.239761121091316,26
148,11.738241375371372,30
149,21.11147229950487,20
150,4.454356409493407,18
151,58.63775671046042,41
152,101.99940414933423,52
153,71.13838828782447,41
154,47.59370265632471,49
155,5.1781147651588775,9
156,5.846715288112292,17
157,4.971849948038345,11
158,17.39537445990307,14
159,20.071674096110883,43
160,67.73606087175095,38
161,103.40778410443703,75
162,53.454253623621454,29
163,19.767128798481146,18
164,164.62298533121893,104
165,63.128758240330306,37
166,55.90128938740423,33
167,102.82133758387009,54
168,115.70747880610516,60
169,69.78349737753345,38
170,8.029894635313939,23
171,51.008795641523314,45
172,32.699259294197844,42
173,24.503562198631865,19
174,58.01275217464275,36
175,5.4508180317441575,10
176,15.222701620041548,15
177,2.9117749871231045,19
178,15.252570398069842,17
179,5.866586415260415,17
180,12.961139612352337,22
181,83.96548953335554,66
182,44.835359605201205,45
183,7.331311775825009,18
184,17.236066726978063,31
185,63.732672982843994,56
186,19.689770981295805,17
187,147.22421206124372,73
188,76.32564231438438,42
189,53.175368394806355,35
190,94.3298728532244,48
191,12.288431006031855,15
192,110.84139036631854,61
193,75.53541029747599,53
194,140.0752802974496,71
195,119.51064053968354,81
196,15.758999690950645,19
197,13.276572547605445,25
198,21.11550500965832,21
199,26.432500020971354,21
200,19.425454505152253,22
201,27.722181611018616,27
202,28.203906705409093,30
203,101.48934195664843,54
204,55.10608814438022,42
205,10.37477804421559,10
206,26.164277756053224,22
207,7.604727125300247,11
208,19.46067146435212,37
209,16.00223223005122,25
210,34.79766419628924,23
211,14.892109011901209,16
212,186.89168085329865,91
213,98.73213455101319,62
214,17.00105259142783,17
215,7.827757692838175,22
216,85.23231735119757,51
217,104.51590435069062,56
218,101.69422802629643,59
219,124.119084852104,62
220,25.60703521121631,22
221,61.98017589800435,34
222,13.754325053373803,13
223,26.720065423548753,26
224,103.14333082065478,54
225,50.22939091993322,31
226,94.80379869374357,51
227,68.4250579651996,41
228,75.61268534070335,46
229,21.12622645762578,32
230,9.288902295613383,13
231,97.52346932566856,51
232,9.8195266508019,13
233,19.95634077679052,17
234,12.039507464218312,23
235,140.47694932164453,71
236,170.29670706358922,91
237,7.8028078418788125,17
238,8.9104622698021,17
239,41.46560076376835,29
240,28.295504835963147,46
241,26.924393087783425,32
242,7.890785365548477,17
243,17.08080373394178,18
244,6.417547392814527,14
245,-0.967964797314784,18
246,39.11907281053993,32
247,43.80171560508352,29
248,97.77374228787505,54
249,54.492689646067134,40
250,156.3060415813185,77
251,12.2043830882986,13
252,98.6328526509351,55
253,51.426309123550475,30
254,105.60504476640722,72
255,21.518190678430727,22
256,24.226631163915243,18
257,30.09848106595559,41
258,31.05645723044962,28
259,31.71705242607631,24
260,234.2206088764989,121
261,78.18873347931668,47
262,17.671967572221295,27
263,15.365907223087104,14
264,100.00152848537095,52
265,22.169742954099288,25
266,27.81960210610712,29
267,78.1304458200598,48
268,11.670389929501761,18
269,18.351049652898233,23
270,95.85496644020995,62
271,33.26096173012485,29
272,61.721422049242015,36
273,19.886381717104875,26
274,8.176780018097336,17
275,2.8555515120075583,21
276,81.37770096807199,56
277,24.115609673805906,28
278,27.36985557675185,19
279,77.88428828943704,43
280,14.35853693337697,17
281,45.0684709275416,36
282,80.86801385000305,44
283,64.51351143334917,43
284,8.492692430859668,14
285,14.258850756738115,16
286,53.50450093332718,39
287,18.444180666126165,20
288,21.29008186438407,18
289,57.26531232774194,49
290,34.70502632149522,49
291,11.349503698410658,11
292,6.535002485084319,19
293,65.67321476845291,38
294,80.15309510412546,49
295,115.24595517250654,63
296,4.652809140670089,13
297,20.679885975591404,25
298,14.233475230231429,17
299,67.45458851598958,45
300,83.80868512217128,56
301,112.38488336525458,76
302,28.904005837009155,23
303,37.047430280470955,26
304,129.52443247348137,63
305,40.96636079603275,33
306,9.659687618091054,20
307,18.99219227752054,24
308,9.42088026269933,29
309,20.979449896727566,18
310,25.103584509444513,19
311,124.90941959718344,64
312,12.359030663562303,25
313,63.03100300277663,37
314,5.904260595780959,20
315,11.18283953392669,14
316,41.25007699612732,30
317,86.07494817203694,55
318,85.8441489931989,46
319,5.850540144662807,24
320,81.69045057542489,67
321,7.869203623713983,11
322,198.0997679367501,96
323,11.14099080141955,18
324,14.965876738192996,16
325,97.76548598139092,56
326,75.99919778198017,48
327,15.319112849898351,17
328,102.3542603490871,69
329,102.5886383734242,60
330,-0.12025847479305585,24
331,10.487107931060313,22
332,88.75143861363259,63
333,127.94013440984052,75
334,84.48826401101489,55
335,13.757698516409555,16
336,50.413895162302836,38
337,22.54661984058173,23
338,4.27016419409501,15
339,42.355157844000544,46
340,66.8091207547738,41
341,6.981175476568144,12
342,152.5278752520464,81
343,149.05648311935684,97
344,117.78848707617065,57
345,25.855171809514236,42
346,6.26387100807689,19
347,8.087415468555088,33
348,22.471237810704146,22
349,80.96369959373052,53
350,57.74113501269734,33
351,63.17793710223201,39
352,0.4142365073566766,19
353,6.797249271794035,22
354,18.698208425155357,20
355,35.530717088483364,38
356,33.44785806773645,23
357,0.7759422786420016,25
358,44.21634233422939,25
359,7.012500716776959,12
360,78.44071233585265,55
361,16.11768899848908,23
362,110.55122204647228,58
363,22.133833857400386,19
364,76.26669368197366,51
365,65.15304174267425,40
366,5.531966471920594,15
367,47.85744929950641,36
368,83.19012637477614,52
369,126.27411948350228,87
370,55.2888430965881,31
371,79.2787809967523,64
372,14.136764228012165,31
373,61.124549490100065,40
374,20.009069633636816,36
375,18.14833156411665,35
376,13.939295078841804,13
377,124.23934304361427,99
378,8.42399108583152,33
379,31.044291591657018,36
380,95.85896082513034,64
381,56.63415369766343,33
382,80.05764139963972,47
383,27.462250897335576,21
384,58.696536075949595,33
385,22.945103867178375,23
386,63.24343015025606,42
387,17.132718833311298,18
388,83.79854400650005,46
389,25.634005397187792,25
390,96.93195184705205,51
391,23.03931251992726,18
392,25.254527018747744,20
393,35.386486779669674,37
394,8.418364943150294,13
395,8.372343231198196,15
396,9.772515726542936,18
397,85.15236084701401,64
398,16.5864884843552,17
399,10.942013708266982,27
400,9.601196158207667,13
401,25.575115298757158,20
402,11.318379713461194,28
403,9.60526734234471,19
404,6.918278408568409,11
405,16.39820339717156,22
406,20.88663865692175,18
407,30.184888256314945,24
408,8.899049231299657,20
409,8.493114506923709,13
410,111.8930388782929,72
411,32.286512043046535,34
412,148.52940977103736,78
413,49.89249355756564,36
414,123.28504760730516,74
415,38.52904056948896,30
416,99.78865634466219,90
417,4.886020920734762,14
418,21.04042953179834,25
419,7.272621288884355,22
420,28.051384184694978,30
421,25.736241529359773,29
422,15.996356748140945,26
423,135.81927367585934,64
424,135.25321951846402,79
425,105.93699243516821,64
426,59.32089478712257,34
427,17.685939600490556,28
428,5.203557268373093,19
429,9.945014346781926,30
430,64.90591909416513,43
431,80.8080120112368,82
432,54.61730338454498,45
433,8.644081831741133,19
434,19.70212941750692,26
435,-1.2017875715570514,22
436,59.393337271000945,43
437,9.84968299440039,23
438,121.01962121489288,85
439,32.68695216909361,26
440,14.272147599798387,32
441,32.37114853106618,31
442,20.89960430249555,21
443,72.80285595945894,45
444,126.51027573245756,63
445,35.163267459004025,25
446,28.155330993747338,23
447,19.47568098959237,21
448,32.211351104297506,26
449,73.43691165624902,43
450,72.07266378288858,52
451,9.616342966439415,16
452,25.04878594876014,42
453,12.412048818792776,24
454,74.30981400564374,48
455,9.62342624099003,11
456,8.311106448094307,12
457,12.896787177028479,18
458,107.71198262006618,57
459,97.97915116937753,54
460,46.99367307687385,31
461,100.8214833676999,53
462,39.46431030978546,29
463,49.27170835582416,27
464,102.70155959018959,71
465,14.02609399248325,15
466,128.66362876865745,65
467,49.94925195979404,28
468,10.828745685837893,19
469,30.72987432183621,21
470,9.987010147890516,12
471,8.185272840813674,18
472,3.128825294664485,17
473,11.43338311015831,15
474,21.312271362966637,25
475,167.623442321615,93
476,54.14321401835416,31
477,134.21301139426035,95
478,52.66001091907749,30
479,7.688872955440164,14
480,11.23654710993699,12
481,61.58018838379606,35
482,12.727722950358963,27
483,74.50642332410875,42
484,38.68598939133687,39
485,6.191428270233382,18
486,38.57610004711481,33
487,25.651424971734127,31
488,87.58164283889649,69
489,11.7922991683928,12
490,103.68997789914593,56
491,70.34244391734101,40
492,7.58168868792851,14
493,6.384102683965563,15
494,3.1556451436163724,21
495,188.81111052115327,102
496,24.291931240208235,28
497,71.76090007011622,39
498,22.473386492482913,36
499,17.055045291748556,20
500,24.349020424690902,20
501,5.614187630753773,18
502,81.17459343929802,50
503,19.26104266133936,20
504,95.1335446365448,54
505,27.479127647829056,45
506,115.60461064112869,60
507,79.03097915865625,49
508,70.22540886869362,40
509,9.217529943907039,26
510,162.49919722707153,87
511,92.68125879603731,69
512,15.63452180062432,14
513,10.712326645682122,16
514,111.46323202604451,57
515,107.5655266878493,70
516,23.675339196945394,20
517,52.87806869645489,37
518,13.432046121356182,19
519,22.606699227183622,27
520,22.06121015491285,33
521,21.183882631419827,19
522,65.24920018701916,37
523,26.068812205420073,22
524,9.413324463183221,19
525,33.94736517512816,27
526,77.73137046765738,46
527,58.68745532608903,34
528,19.109756961286084,20
529,8.348832561137023,23
530,24.6026018839729,18
531,63.85719665844136,61
532,7.3331221596179175,12
533,9.215727822810393,13
534,32.16952361090647,27
535,10.776894975113292,17
536,128.42129683416564,75
537,66.92064989560748,37
538,14.129116696837484,21
539,58.40270974989503,34
540,16.930943215466957,34
541,17.63301626070026,18
542,43.30412733164077,32
543,56.52851517295575,74
544,13.027612642618749,25
545,20.959205333231964,28
546,30.473997251542592,20
547,11.536459329751187,18
548,17.01779114115384,30
549,23.437557291678566,31
550,19.982664619375427,19
551,43.10666146459038,33
552,9.62958973085209,13
553,154.6868303775562,97
554,119.57119108697938,91
555,16.454849574836366,21
556,27.76762072571713,24
557,22.500550819822184,18
558,73.63828095472347,41
559,107.21409416348665,71
560,17.619456721354954,19
561,3.969400290068561,30
562,13.421030274149993,24
563,34.39336866438677,25
564,21.326312139196023,19
565,8.526596481551534,10
566,139.37174609519582,69
567,38.24809678963142,28
568,11.196856054765252,14
569,14.354173643430578,20
570,99.88041666081205,63
571,77.71230720443218,44
572,22.733027322192104,38
573,83.4667508486098,54
574,7.158392051392116,32
575,75.265948771894,45
576,16.973597349619407,19
577,80.84633621421814,46
578,61.10976983525062,43
579,7.39605744196043,17
580,7.554386540168631,28
581,97.50132902138634,51
582,30.99611626519498,42
583,92.3606483615004,50
584,55.58568110037944,35
585,19.152413211974935,20
586,7.3568378567553285,23
587,77.05596119257766,42
588,79.93459635335623,53
589,126.70457525477967,76
590,55.976109979992216,34
591,248.2558080053758,162
592,161.8317835465975,95
593,11.960182727438436,17
594,10.015279276663172,18
595,77.78748638678856,44
596,12.864112397763094,12
597,32.35046472962087,24
598,40.86416937726854,29
599,47.988971176917566,52
600,19.5156422095123,23
601,26.17896239406205,25
602,115.10029723622091,59
603,14.17120984970296,17
604,20.470021730616757,27
605,13.096407680869197,18
606,118.98439338493091,74
607,13.651989753058604,21
608,53.885775597925964,41
609,7.84142750692619,18
610,32.292679647769695,42
611,77.13084628849252,40
612,76.08323960029327,50
613,6.1800280872226745,21
614,11.159188148865116,13
615,25.28294055438409,20
616,11.63989164706588,18
617,41.088224651286005,26
618,5.761926095684681,24
619,21.429165960346214,17
620,15.148672544010196,24
621,39.01072445211792,39
622,7.487414487290389,25
623,78.2049381467674,50
624,5.960700774526066,17
625,34.3443353440505,30
626,14.962615123213592,19
627,17.87703528713662,15
628,46.3452859031485,48
629,55.67171898564905,35
630,22.067324912315154,23
631,26.72345279338608,20
632,78.76790908363536,51
633,138.34931231725471,77
634,14.723932676682828,18
635,64.9355467567642,36
636,135.1088120228508,102
637,4.631735608757157,20
638,77.56509242992006,44
639,129.05637160406954,79
640,66.79550907966328,37
641,168.8555780472567,101
642,45.331096981946594,31
643,-0.9351074836326281,22
644,6.895355163364275,21
645,10.44314154763725,12
646,27.971665350705347,28
647,9.95008672905724,21
648,10.419484003766405,21
649,31.678576049725123,24
650,20.63150404304612,19
651,9.954331723618314,11
652,20.77348279049358,20
653,34.342850271871896,36
654,15.503655836994433,15
655,58.38241921331744,39
656,6.513946491590491,29
657,33.9606996893348,26
658,6.53694212987092,13
659,58.52782675306468,36
660,46.43145835864874,30
661,18.8878515048918,20
662,54.66474321173602,32
663,21.677186407539455,19
664,81.32660620472323,61
665,111.8199530190124,57
666,4.956222436160358,26
667,37.224831659104204,39
668,42.99351336146161,27
669,136.02775225669498,84
670,47.52673450896996,29
671,75.70959036200672,60
672,20.263414002151166,29
673,11.760320684158089,31
674,21.913801576474867,19
675,17.37814325869818,24
676,15.511549304012863,14
677,51.849469432161065,30
678,84.81588279827596,45
679,123.91325237685611,71
680,63.73460035861083,43
681,34.43931536186721,27
682,79.61125634880828,54
683,14.745139913458825,23
684,12.959970454135782,13
685,73.2555475244859,51
686,6.7447813636241545,26
687,87.17161765188132,47
688,34.36240005343139,27
689,77.74987244741457,44
690,2.967814567978098,22
691,8.508676313864154,16
692,48.930149652188895,27
693,31.92541006060081,30
694,18.51376259026483,20
695,87.69140053838494,48
696,27.18493626915695,25
697,31.41676047986087,42
698,64.84033082213288,44
