Episode,Reward,Episode Steps
1,9.21514672143706,11
2,18.31265818481188,25
3,11.168288894509532,13
4,3.734321858369379,7
5,12.186437065752434,15
6,17.336381240189628,23
7,10.754775164670836,13
8,17.077679143793034,18
9,12.109750702145162,18
10,14.230679551080321,17
11,51.40096968079573,57
12,5.937782203345364,8
13,8.592221361080743,12
14,30.4384962640097,46
15,98.5221788402962,131
16,98.11931878359766,63
17,74.01206496489719,85
18,56.90737065164815,55
19,17.458147806559804,36
20,10.73483539078571,12
21,177.27909055915825,85
22,147.3050312726624,77
23,45.77221702675848,59
24,101.44875122526084,69
25,226.87746060862256,158
26,99.88589153892678,116
27,215.11353346523018,117
28,52.39804859439637,36
29,126.51487098934206,95
30,109.91933723643236,76
31,27.8079487036277,24
32,21.21863621928519,18
33,33.93364371778514,30
34,138.43492477613174,103
35,64.06853567611955,39
36,66.10618475268647,88
37,68.51593108263356,51
38,72.23657782716572,45
39,106.00825522668485,58
40,52.374046048398824,44
41,70.13505400303565,66
42,101.32733087901538,54
43,101.64563125759506,60
44,69.73152077718882,39
45,131.7569942704976,73
46,66.95917976777086,40
47,66.89372592083508,43
48,29.47287302625669,25
49,79.75391886827744,46
50,80.07026907899755,45
51,72.47537846335871,41
52,50.93914552349184,30
53,74.51484679852088,41
54,5.0756318063166335,12
55,66.03258116619565,46
56,55.70717283626821,33
57,79.4172802311249,75
58,75.0633267349207,46
59,108.22251744478815,58
60,59.72317184818557,33
61,52.229739575997314,28
62,68.29253800197127,39
63,45.77263707406604,28
64,56.62226505009567,32
65,93.1927899830807,47
66,69.69904420530735,42
67,56.17384145261684,33
68,86.87628931868278,46
69,43.04419170652545,24
70,4.7399888143765425,10
71,3.851110814409894,10
72,54.55377627800343,31
73,79.11506382011876,43
74,54.9027591540784,32
75,74.25148641284288,41
76,54.26960292464867,32
77,77.90130670703083,44
78,58.95194100290765,33
79,54.92167504056077,31
80,59.999318669710476,33
81,52.431631909501455,28
82,55.66933546368228,31
83,68.46576857469796,37
84,44.352477184142074,24
85,68.60468773063276,40
86,53.85649590017043,30
87,61.558776060460666,34
88,65.44996946309095,46
89,59.780090453299735,34
90,65.59976991363857,37
91,55.96846930254335,31
92,55.274093731984415,31
93,53.1939170368145,30
94,57.04039288347804,32
95,58.489292727920954,32
96,71.06512680792827,40
97,64.41338240050611,35
98,49.040872486211775,28
99,51.446961509669684,30
100,105.21328647707777,55
101,42.129813464255605,23
102,51.43990174566507,29
103,58.771268471205715,33
104,102.59024277492261,57
105,56.91752042913988,32
