Episode,Reward,Episode Steps
1,8.3509873646051,15
2,12.375331311893849,26
3,7.658285337201809,15
4,5.808543680438498,11
5,3.8376574585716687,12
6,14.16562203143951,16
7,16.634811770875555,18
8,11.23681248883127,21
9,9.622337668558554,22
10,8.234092859426498,12
11,5.158134166439822,23
12,11.185272907392033,12
13,21.474676126006763,20
14,9.99490516367165,37
15,11.081416661484884,14
16,3.968479852199775,13
17,12.15365968366664,15
18,12.506860087369812,20
19,7.580016152180001,21
20,4.888861122240474,24
21,30.635946725827814,53
22,29.733377089219765,35
23,17.306384186344246,34
24,21.70621330104753,38
25,8.54182422633572,28
26,30.365835320692717,28
27,12.185508287766941,21
28,17.72254597902274,40
29,18.695239630016577,31
30,13.753584246621285,22
31,25.187108796134474,49
32,11.995059500801544,40
33,8.680396338722732,31
34,6.747085271678047,35
35,7.428580627040436,32
36,19.92614380186567,40
37,21.151570043055695,38
38,23.495265924301375,46
39,13.947991425997635,42
40,21.190377530261678,34
41,19.516701036420002,33
42,13.016968305120589,14
43,41.450714818505126,50
44,102.8039827583738,98
45,41.34266627122963,67
46,17.32558712832561,39
47,24.52651290849365,52
48,29.631108432492727,35
49,78.7717828179024,83
50,44.213739150421915,57
51,27.546468884501728,52
52,58.935965538456095,81
53,114.06984431882553,129
54,49.37897196651324,49
55,27.89645889779519,55
56,24.351263709015484,32
57,49.739260874341674,60
58,63.60060238847325,87
59,26.305780860953448,42
60,89.35621714422362,66
61,30.40509426414519,41
62,130.58179210772516,147
63,11.21105322402051,16
64,29.52800277377832,56
65,34.506508243039036,59
66,51.28466587899366,64
67,56.11929169199487,81
68,165.1055700428219,119
69,15.889410185269659,26
70,56.167102622298636,55
71,202.64909618781158,139
72,335.91511520855596,293
73,377.0070723730963,314
74,85.47059952237205,93
75,68.08273078952637,67
76,101.03714266262128,117
77,591.4727003474779,487
78,269.34445823998135,159
79,10.151611706161944,35
80,196.04563369564687,143
81,115.53302517225582,83
82,122.17351241988764,75
83,389.5864405082503,351
84,280.89456289914796,217
85,138.7349965377907,88
86,156.56221143935443,121
87,254.69329526191194,180
88,32.853928335491034,37
89,191.33428487018602,151
90,452.2378493537983,381
91,81.22665995912678,51
92,246.81316432407735,162
93,165.86691179022847,131
94,107.99795477219799,68
95,167.542268776821,133
96,225.99992118076608,141
97,160.09444772592778,97
98,206.98925110424804,167
99,200.9711776364259,139
100,103.01449279400782,73
101,105.63834215655358,76
102,95.27304275629729,66
103,141.3344417304,88
104,77.49392430311869,48
105,122.16495919636843,88
106,131.82245487074286,97
107,223.14507638635413,160
108,161.17103004516164,88
109,205.53539167959994,154
110,194.28262468581516,157
111,174.03001386085066,133
112,149.64170384132575,88
113,175.41033263923822,123
114,110.55554919355804,83
115,131.68091808540967,99
116,141.80782067955667,112
117,101.88929093783128,59
118,99.8067597763117,59
119,86.79480019580245,58
120,95.3412478152288,54
121,88.7273450103627,53
122,74.39435038442753,46
123,78.29139736435917,50
124,77.70498130101086,45
125,83.36488132658845,53
126,91.79705487147812,62
127,125.56137633715018,84
128,80.13940231131457,47
129,102.34231252312188,67
130,99.45366701875119,71
131,73.4334871300706,44
132,70.22495793557361,42
133,78.25057406503244,48
134,68.1680491926334,41
135,68.5633270128591,41
136,77.33772173136246,45
137,82.96715096692652,52
138,69.67072000585513,42
139,115.4185715866309,70
140,68.51094676738907,41
141,94.2885057223949,58
142,74.59666913648638,45
143,79.08780443702784,45
144,72.34075655212361,43
145,59.68300956947092,36
146,80.11475440354201,53
147,74.44435861689794,46
148,88.97030182088393,57
149,74.11827433829136,43
150,98.12708852220008,64
151,88.3030765357962,61
152,61.592578257269224,37
153,73.02724425803444,43
154,64.6495046903611,39
155,76.34073281672542,45
156,74.43669019695737,46
157,92.56773778662807,61
158,88.01809299596592,54
159,67.39751734723534,40
160,68.70265091814366,40
161,65.96142017190547,40
162,65.2664836866187,39
163,65.82036258479246,39
164,68.32974352005571,41
165,67.45731800971653,40
166,62.162157457422666,37
167,70.84427408784835,42
