% # columns="iteration, evaluation, void, void, void, xmean", seed=369884, Sun Sep  7 22:22:41 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 6 0 0 0 0.047901896470369305 -0.002876730857316234
2 12 0 0 0 0.25619914141731476 0.05788103025903687
3 18 0 0 0 0.37225338550886033 0.1349037737200397
4 24 0 0 0 0.3450046588850212 0.20664774322395857
5 30 0 0 0 0.3323435577976875 0.11148840582580304
6 36 0 0 0 0.34010486564002246 0.1003156593755531
7 42 0 0 0 0.33463126963636014 0.07924553765373649
8 48 0 0 0 0.3720870297950214 0.09392566966184297
9 54 0 0 0 0.41839216605950164 0.15352309543564838
10 60 0 0 0 0.45360367844179317 0.18714480943323994
11 66 0 0 0 0.45296564764685704 0.21181868610416185
12 72 0 0 0 0.5187940469916558 0.25206535318781026
13 78 0 0 0 0.5359862939406427 0.2949527518712829
14 84 0 0 0 0.5712936688628979 0.3269479008814935
15 90 0 0 0 0.673032037362952 0.45129603240944227
16 96 0 0 0 0.7069558846298648 0.509879791431299
17 102 0 0 0 0.7467333691872848 0.5699007616691164
18 108 0 0 0 0.7741870299729039 0.6041955078412239
19 114 0 0 0 0.8478405890179846 0.7013510112425859
20 120 0 0 0 0.860651297567062 0.7378891522928466
21 126 0 0 0 0.8171694955049392 0.6951542000301638
22 132 0 0 0 0.8764120394845797 0.7839853310909869
23 138 0 0 0 0.8956662262466838 0.797715213649511
24 144 0 0 0 0.9691085413452717 0.93866137691605
25 150 0 0 0 0.9719935513713355 0.921643231376594
26 156 0 0 0 1.0106073448194672 1.0131063306262216
27 162 0 0 0 1.023980202315648 1.0574511427522986
28 168 0 0 0 0.9993302059733652 1.0031812339586166
29 174 0 0 0 1.021498136481902 1.0532809520070603
30 180 0 0 0 1.0196323587286305 1.0485517139852292
31 186 0 0 0 1.0066048078368477 1.0135282019989331
32 192 0 0 0 0.9980128172001657 0.9965436253539178
33 198 0 0 0 0.979565145940768 0.9614045764651804
34 204 0 0 0 0.9576006503099526 0.9178105773836404
35 210 0 0 0 1.0000692797575041 1.001711298145183
36 216 0 0 0 1.0039886746610998 1.0104499283631552
37 222 0 0 0 1.0018491377652947 1.0047105616479595
38 228 0 0 0 1.0009610517982415 1.000812622694244
39 234 0 0 0 0.9964451066621989 0.9940156257156323
40 240 0 0 0 1.0031533966944355 1.0065862320739558
41 246 0 0 0 0.9973331184371086 0.9935412068050276
42 252 0 0 0 1.0001082875615726 0.9993835724170076
43 258 0 0 0 1.0016896854011945 1.0035577154326434
44 264 0 0 0 0.9992311578512748 0.9982633937386736
45 270 0 0 0 0.9980174302579867 0.9960792175755798
46 276 0 0 0 0.9986530750569432 0.9973208406201969
47 282 0 0 0 1.0013788985009229 1.0027031906517425
48 288 0 0 0 0.9991107504837844 0.9981834554352452
49 294 0 0 0 0.9994086248943445 0.9988082316692422
50 300 0 0 0 1.0003213544271266 1.000619734240272
51 306 0 0 0 1.0001707593397962 1.0004040418077234
52 312 0 0 0 0.9999519347032804 0.9998798342293915
53 318 0 0 0 1.0003099270110523 1.0005894946832607
54 324 0 0 0 0.9998544965913037 0.9997132895087819
55 330 0 0 0 0.9999020190285421 0.9998040807534382
56 336 0 0 0 1.0000398076322476 1.0000778375804942
57 342 0 0 0 0.999914773333971 0.9998298980248901
58 348 0 0 0 0.9999561829574763 0.999911951148871
59 354 0 0 0 1.0000110953163253 1.000027471351559
60 360 0 0 0 1.000001159008873 1.000007363265724
61 366 0 0 0 1.0000002613531696 1.0000013278055553
62 372 0 0 0 0.9999698848000016 0.9999405915728918
63 378 0 0 0 0.9999941483492814 0.9999866094040082
64 384 0 0 0 1.0000074065430062 1.0000132136281
65 390 0 0 0 0.9999851110103061 0.9999706821555459
66 396 0 0 0 0.999979092822122 0.9999584090967217
67 402 0 0 0 0.9999832541595507 0.9999666645695549
68 408 0 0 0 0.9999998757290054 1.0000004402904568
69 414 0 0 0 1.0000046362069979 1.0000098498852683
70 420 0 0 0 1.0000067053090376 1.000013927062724
71 426 0 0 0 1.0000014400336357 1.00000334943686
72 432 0 0 0 0.9999989489870884 0.9999986476054117
73 438 0 0 0 1.000000810210015 1.000002138661852
74 444 0 0 0 1.0000005341793625 1.0000011901501564
75 450 0 0 0 0.9999996003864605 0.9999990913170866
76 456 0 0 0 0.9999996445002794 0.999999373684004
77 462 0 0 0 1.0000012186346057 1.0000024303774804
78 468 0 0 0 1.0000001106216339 1.0000002919541549
79 474 0 0 0 0.99999965332815 0.9999994323541961
80 480 0 0 0 0.9999992004752114 0.9999984588769937
81 486 0 0 0 0.9999995483571963 0.9999991808371591
82 492 0 0 0 0.999999928913861 0.9999999209168077
83 498 0 0 0 0.9999996702725106 0.999999320370436
84 504 0 0 0 1.0000000871731118 1.000000177493719
85 510 0 0 0 1.000000147488859 1.000000320581224
86 516 0 0 0 1.0000001320025553 1.0000002636239167
87 522 0 0 0 1.0000000327766045 1.000000050149852
88 528 0 0 0 1.0000000115146195 1.000000013068433
89 534 0 0 0 0.9999999447376458 0.9999998806599729
90 540 0 0 0 0.9999999370064184 0.9999998770784482
91 546 0 0 0 0.9999999632632829 0.9999999274166951
92 552 0 0 0 0.9999999922719807 0.999999985628484
93 558 0 0 0 0.9999999975808236 0.9999999940468992
93 558 0 0 0 0.9999999975808236 0.9999999940468992
