timesteps,mean_reward,std_reward,mean_steps
10000,596.05273,1.9786928,410.7
20000,522.11615,2.6654127,500.0
30000,491.74664,0.4003586,500.0
40000,477.71426,0.47197658,500.0
50000,366.7372,2.369465,143.9
60000,536.7724,0.35018095,500.0
70000,534.7869,1.4129975,176.7
80000,535.7435,0.40727547,500.0
90000,684.23206,9.713158,215.9
100000,776.63837,120.80389,232.1
110000,691.0098,3.769898,215.3
120000,926.8048,95.09451,275.7
130000,1006.93915,47.742958,292.1
140000,882.2673,2.7395947,273.9
150000,959.19543,25.154852,292.4
160000,939.19885,7.9188566,280.8
170000,982.74786,1.3453736,279.4
180000,1016.496,5.2349834,277.5
190000,1043.6388,7.771998,301.0
200000,1011.7716,1.5011219,289.2
