timesteps,mean_reward,std_reward,mean_steps
20000,354.87253,4.1635046,154.0
40000,472.802,0.27221212,500.0
60000,595.53503,3.200695,240.9
80000,609.5358,17.484438,221.4
100000,978.486,10.744833,304.0
120000,1511.08,11.17629,500.0
140000,1646.4801,36.12849,484.0
160000,1179.8499,36.47433,335.0
180000,1301.8547,367.1727,459.1
200000,855.5111,42.170597,249.4
