timesteps,mean_reward,std_reward,mean_steps
1000,990.8058,16.928535,280.1
2000,1007.71466,7.7170315,286.8
3000,1058.2095,88.24115,302.6
4000,1133.7911,83.56602,321.5
5000,1194.3296,117.59648,338.8
6000,570.35767,10.96518,183.0
7000,845.45526,29.972334,242.5
8000,760.52936,10.573607,219.3
9000,712.9055,9.8358965,224.3
10000,1501.0586,57.748558,495.7
11000,691.02936,2.672381,218.4
12000,610.6274,5.506943,195.6
13000,845.6753,17.889841,279.6
14000,599.3733,85.94696,182.4
15000,640.5343,2.5431497,208.3
16000,895.44073,23.572721,267.1
17000,1078.5349,35.83037,318.0
18000,844.4313,10.158459,242.6
19000,1009.2584,54.071438,288.5
20000,694.4999,18.012815,208.3
21000,888.605,44.082424,260.6
22000,775.84515,18.60729,229.5
23000,848.4702,24.34228,254.4
24000,1237.0486,114.08365,375.4
25000,819.38855,76.40019,270.8
26000,1098.3517,176.7963,311.4
27000,1253.0847,13.0288,358.7
28000,748.85065,8.814355,248.2
29000,1376.4125,47.893654,382.2
30000,897.2336,36.783733,250.7
31000,1531.9683,54.254036,487.4
32000,1471.1799,88.05804,448.8
33000,700.67004,6.833946,209.9
34000,1363.1755,200.5294,472.8
35000,896.13995,10.395226,246.1
36000,837.48,3.5802276,240.3
37000,1138.8002,13.0016165,318.4
38000,803.7435,14.755973,229.7
39000,777.9871,5.519611,212.6
40000,758.2368,9.100603,215.1
41000,882.9323,14.86373,246.3
42000,913.67737,6.307749,250.5
43000,980.50305,7.4561934,266.7
44000,1066.5009,28.504606,295.2
45000,760.7704,13.403668,209.4
46000,990.26385,8.336222,267.3
47000,1165.8611,16.808495,331.8
48000,1056.2317,52.588097,290.5
49000,800.55774,244.02023,229.8
50000,1532.6018,8.259834,500.0
51000,1004.98865,74.7636,286.7
52000,1173.379,195.56671,327.9
53000,28.952885,0.9288321,20.0
54000,870.37854,67.744835,252.1
55000,889.3875,64.696465,257.7
56000,872.2938,197.4986,262.7
57000,954.83167,46.508743,279.0
58000,1481.3611,106.90383,466.6
59000,1234.1163,187.4498,377.8
60000,717.3517,14.971389,206.6
