timesteps,mean_reward,std_reward,mean_steps
210000,1406.1626,162.66946,438.2
220000,12.999255,1.0352088,12.4
230000,1030.771,99.712814,314.7
240000,1425.4368,223.73392,410.8
250000,1590.6422,156.86363,500.0
