timesteps,mean_reward,std_reward,mean_steps
10000,338.39093,2.1255717,172.7
20000,320.70734,3.4086564,159.7
30000,756.1733,10.750115,279.7
40000,541.03906,0.62853706,500.0
50000,767.21576,4.8803525,233.1
