timesteps,mean_reward,std_reward,mean_steps
10000,518.30676,0.58874065,500.0
20000,480.10605,0.6163485,500.0
30000,434.5756,12.317538,165.3
40000,1009.9608,337.7575,410.4
50000,481.06372,0.662162,500.0
60000,578.00305,3.039493,212.1
70000,868.47833,1.2900786,286.2
80000,778.65765,39.653194,248.1
90000,458.28516,106.57232,157.3
100000,982.1627,1.7218335,309.1
110000,1520.4918,2.9576523,500.0
120000,1031.7369,0.9257863,301.6
130000,822.1688,35.501358,250.9
140000,962.09827,2.844844,279.3
150000,1604.3612,57.41365,488.9
160000,961.18176,4.616164,286.3
170000,956.0132,20.968618,275.1
180000,959.9486,5.788069,278.9
190000,1115.0709,18.913475,331.3
200000,1593.6012,4.0532494,500.0
