timesteps,mean_reward,std_reward,mean_steps
5000,724.22015,1.8547043,226.4
10000,528.04944,0.63925534,500.0
15000,498.11298,0.6302435,500.0
20000,487.04654,0.71899104,500.0
25000,802.4258,9.956318,275.4
30000,543.6952,0.58536583,500.0
35000,522.17566,0.5314854,500.0
40000,827.0508,190.84323,424.5
45000,549.3801,0.71157885,500.0
50000,1132.1948,5.655404,378.6
