timesteps,mean_reward,std_reward,mean_steps
1000,726.69464,9.98831,219.3
2000,757.3667,68.152756,225.8
3000,725.4715,8.641087,219.4
4000,750.5142,70.93652,226.4
5000,726.67267,12.417247,219.9
6000,13.935255,0.70258427,12.6
7000,565.2268,11.061634,191.5
8000,528.8732,8.204803,183.9
9000,778.40375,23.67592,238.0
10000,849.71155,62.586056,260.2
11000,1308.8732,187.85628,412.0
12000,268.85883,7.0874324,128.1
13000,1514.6561,69.31505,486.1
14000,1364.6432,141.74037,442.8
15000,1166.3533,140.57004,374.2
16000,977.2082,68.88791,284.6
17000,536.77466,171.85925,198.7
18000,496.62518,400.3433,191.1
19000,1449.7468,150.86479,452.6
20000,1004.36865,188.55122,297.7
21000,792.08417,25.99161,230.4
22000,847.9093,50.821404,253.8
23000,860.3109,72.41421,276.1
24000,1126.2904,150.39131,375.9
25000,1502.0856,23.120594,500.0
26000,1512.8956,69.34775,476.6
27000,989.73016,246.34595,322.5
28000,1399.9009,20.951832,500.0
29000,1318.0045,147.06714,402.6
30000,1512.06,37.09027,500.0
31000,1002.73016,56.630165,305.3
32000,1016.15625,65.54823,315.4
33000,1127.1648,307.14728,471.6
34000,834.5,18.705547,250.5
35000,1230.9907,144.69814,383.3
36000,1044.1184,242.06815,337.8
37000,1291.6918,109.13973,409.1
38000,1136.9094,64.41784,339.7
39000,1105.1011,366.9465,361.6
40000,1029.9807,175.38666,304.2
41000,1179.2668,255.23627,360.1
42000,1328.8816,244.3998,442.5
43000,1475.0598,26.83337,500.0
44000,1126.4594,199.98642,343.6
45000,1448.5374,35.606,500.0
46000,1382.8079,26.515705,500.0
47000,1463.7261,124.211494,482.3
48000,1214.8619,154.75795,396.6
49000,1480.6852,9.1321335,500.0
50000,1219.8564,357.4445,418.4
51000,1439.3918,147.20383,469.9
52000,1459.4086,52.242123,500.0
53000,1530.9132,24.820963,500.0
54000,1504.2017,92.01788,487.8
55000,1059.4441,216.31288,308.1
56000,1506.9779,74.46998,488.1
57000,1582.0444,50.76003,492.3
58000,1441.8684,186.92453,473.9
59000,1466.7567,130.74265,470.3
60000,1318.9873,209.64618,391.5
