timesteps,mean_reward,std_reward,mean_steps
10000,511.78452,0.68839395,500.0
20000,506.01578,0.7659712,500.0
30000,482.52032,0.46552393,500.0
40000,518.3763,0.61270547,500.0
50000,345.40903,70.35864,168.6
60000,311.26788,1.2321668,139.1
70000,275.73303,1.7813653,112.9
80000,403.52924,1.9590449,165.6
90000,1236.4089,0.72189814,500.0
100000,616.79675,2.4791622,258.3
110000,1184.0739,57.346443,395.7
120000,1361.4904,8.196331,500.0
130000,1393.2028,54.33259,463.0
140000,1556.611,62.995148,472.7
150000,1059.0468,36.500393,323.7
160000,1422.8586,2.9979553,500.0
170000,1503.9241,6.3312154,500.0
180000,1580.0935,16.666956,500.0
190000,1265.9526,82.28313,381.8
200000,1533.8049,3.2820787,500.0
